id,benchmark,category,question,ground_truth,answer,human_verdict,notes
J001,locomo,temporal,When did Caroline go to the LGBTQ conference?,10 July 2023,"July 10, 2023. Caroline mentioned attending an LGBTQ conference two days before July 12, 2023.",CORRECT,
J002,lme_s,multi-session-reasoning,How many days did I spend in total traveling in Hawaii and in New York City?,15 days,"You spent a total of 15 days traveling, with 10 days in Hawaii and 5 days in New York City.",CORRECT,
J003,locomo,single-hop,What kind of classes has James joined?,"game design course, cooking classes",James has joined an online gaming tournament.,INCORRECT,
J004,lme_s,information-extraction,What breed is my dog?,Golden Retriever,Golden Retriever.,CORRECT,
J005,lme_s,temporal-reasoning,How many days had passed between the Sunday mass at St. Mary's Church and the Ash Wednesday service at the cathedral?,30 days. 31 days (including the last day) is also acceptable.,"There is no specific information in the provided context about the dates of the Sunday mass at St. Mary's Church or the Ash Wednesday service at the cathedral, so I cannot determine the number of days between them.",INCORRECT,
J006,locomo,single-hop,Which events has Jon participated in to promote his business venture?,"fair, networking events, dance competition","Jon participated in a fair on April 24, 2023, to show off his studio and attended a networking event on July 21, 2023, where he met investors and received advice.",INCORRECT,
J007,locomo,temporal,Which outdoor spot did Joanna visit in May?,Whispering Falls waterfall,Whispering Falls,CORRECT,
J008,lme_s,knowledge-update,Where do I currently keep my old sneakers?,in a shoe rack in my closet,Under your bed.,INCORRECT,
J009,lme_s,information-extraction,What should I serve for dinner this weekend with my homegrown ingredients?,"The user would prefer dinner suggestions that incorporate their homegrown cherry tomatoes and herbs like basil and mint, highlighting recipes that showcase their garden produce. They might not prefer suggestions that do not utilize these specific ingredients or do not emphasize the use of homegrown elements.","Grilled Chicken or Fish with Roasted Vegetables is a great option for dinner this weekend using your homegrown ingredients. You can marinate the chicken or fish in olive oil, lemon juice, and herbs, and serve it with a variety of roasted vegetables like asparagus, Brussels sprouts, bell peppers, and sweet potatoes.",INCORRECT,
J010,locomo,single-hop,What LGBTQ+ events has Caroline participated in?,"Pride parade, school speech, support group","Caroline has participated in an LGBTQ+ pride parade, a school event where she talked about her transgender journey, volunteered at an LGBTQ+ youth center, joined a mentorship program for LGBTQ youth, and organized an LGBTQ art show.",INCORRECT,
